Sl. No. Col. (1),Crime Head Col. (2),Cases Pending Trial from the Previous Year - Col. (3),Cases Sent for Trial during the year - Col. (4),Total Cases for Trial (Col.3+Col.4) - Col. (5),Cases Abated by Court - Col. (6),Cases Withdrawn from Prosecution - Col. (7),Cases Compounded or Compromised - Col. (8),Cases Disposed off by Plea Bargaining - Col. (9),Cases Quashed - Col. (10),Cases Disposed off without Trial (Col.6+Col.7+Col.8+Col.9+Col.10) - Col. (11),Cases Stayed or Sent to Record Room - Col. (12),Cases Convicted Out of Cases from Previous Year - Col. (13),Cases Convicted Out of Cases during the Year - Col. (14),Cases Convicted (Col.13+Col.14) - Col. (15),Cases Discharged - Col. (16),Cases Acquitted - Col. (17),Cases which Trials were Completed (Col.15+Col.16+Col.17) - Col. (18),Cases Disposed off by Courts (Col.11+Col.18) - Col. (19),Cases Pending Trial at End of the Year (Col.5-Col.19) - Col. (20),Conviction Rate (Col.15/Col.18)*100 - Col. (21),Pendency Percentage (Col.20/Col.5)*100 - Col. (22)
1,Murder,208844,24015,232859,174,1,16,2,2,195,241,4018,518,4536,473,5288,10297,10492,222367,44.1,95.5
2,Culpable Homicide not amounting to Murder,21319,2980,24299,5,0,6,0,1,12,8,555,58,613,79,946,1638,1650,22649,37.4,93.2
3,Causing Death by Negligence,599252,91915,691167,1789,44,826,35,7,2701,137,9657,3466,13123,2645,19621,35389,38090,653077,37.1,94.5
3.1,Deaths due to Negligence relating to Road Accidents,571811,86817,658628,1763,44,806,33,5,2651,133,9009,3382,12391,2476,18495,33362,36013,622615,37.1,94.5
3.1.1,Hit and Run,165479,28326,193805,109,0,305,24,1,439,55,3975,1794,5769,1001,3159,9929,10368,183437,58.1,94.7
3.1.2,Other Accidents,406332,58491,464823,1654,44,501,9,4,2212,78,5034,1588,6622,1475,15336,23433,25645,439178,28.3,94.5
3.2,Deaths due to Negligence relating to Rail Accidents,34,21,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,NA,100
3.3,Deaths due to Medical Negligence,467,61,528,0,0,1,0,0,1,0,1,0,1,0,11,12,13,515,8.3,97.5
3.4,Deaths due to Negligence of Civic Bodies,202,29,231,2,0,0,0,0,2,0,0,0,0,0,3,3,5,226,0,97.8
3.5,Deaths due to other Negligence,26738,4987,31725,24,0,19,2,2,47,4,647,84,731,169,1112,2012,2059,29666,36.3,93.5
4,Dowry Deaths,46507,6109,52616,0,0,15,2,3,20,11,880,76,956,105,1022,2083,2103,50513,45.9,96
5,Abetment of Suicide,29053,6791,35844,15,0,19,0,5,39,20,354,27,381,70,1299,1750,1789,34055,21.8,95
6,Attempt to Commit Murder,274856,47191,322047,72,4,169,15,30,290,181,2351,446,2797,603,7869,11269,11559,310488,24.8,96.4
7,Attempt to commit Culpable Homicide,31485,8112,39597,16,0,28,0,56,100,7,1652,17,1669,81,1061,2811,2911,36686,59.4,92.6
8,Attempt to Commit Suicide,7405,1030,8435,18,2,10,0,0,30,6,172,99,271,12,203,486,516,7919,55.8,93.9
9,"Miscarriage, Infanticide, Foeticide and Abandonment",1788,407,2195,0,0,0,0,0,0,2,25,4,29,3,34,66,66,2129,43.9,97
10,Hurt,2430897,473822,2904719,380,138,27969,3366,342,32195,410,39396,11298,50694,8365,61785,120844,153039,2751680,41.9,94.7
10.1,Simple Hurt,1704120,399566,2103686,336,126,25461,3247,316,29486,315,30950,9805,40755,7501,50153,98409,127895,1975791,41.4,93.9
10.1.1,Voluntarily Causing Simple Hurt,953369,225645,1179014,95,57,7074,2967,179,10372,86,20650,6819,27469,4890,25460,57819,68191,1110823,47.5,94.2
10.1.2,Voluntarily causing hurt by Dangerous weapons or means,640091,145804,785895,188,44,17641,254,115,18242,196,8217,1429,9646,1737,21266,32649,50891,735004,29.5,93.5
10.1.3,Voluntarily Causing hurt/Force to deter public servant from his duty,62136,13332,75468,43,18,221,3,12,297,19,877,220,1097,213,2066,3376,3673,71795,32.5,95.1
10.1.4,Causing Hurt by act endangering life/safety of others,23739,8819,32558,8,3,375,17,0,403,12,798,1309,2107,91,901,3099,3502,29056,68,89.2
10.1.5,Other Simple Hurt,24785,5966,30751,2,4,150,6,10,172,2,408,28,436,570,460,1466,1638,29113,29.7,94.7
10.2,Grievous Hurt,726777,74256,801033,44,12,2508,119,26,2709,95,8446,1493,9939,864,11632,22435,25144,775889,44.3,96.9
10.2.1,Voluntarily causing grievous hurt,513199,53243,566442,22,5,1561,116,3,1707,30,5945,1103,7048,577,7175,14800,16507,549935,47.6,97.1
10.2.2,Voluntarily causing grievous hurt by dangerous weapons or means,191439,16401,207840,19,6,730,3,22,780,62,1549,122,1671,266,3798,5735,6515,201325,29.1,96.9
10.2.3,Acid Attack,820,169,989,2,0,1,0,0,3,0,19,0,19,1,13,33,36,953,57.6,96.4
10.2.4,Attempt to Acid Attack,192,42,234,0,0,1,0,0,1,0,1,0,1,0,4,5,6,228,20,97.4
10.2.5,Voluntarily Causing Grievous hurt/Force to deter public servant from his duty,4989,1371,6360,1,1,7,0,1,10,3,217,139,356,4,236,596,606,5754,59.7,90.5
10.2.6,Causing Grievous Hurt by act endangering life/safety of others,10801,2337,13138,0,0,204,0,0,204,0,459,123,582,14,379,975,1179,11959,59.7,91
10.2.7,Other Grievous Hurt,5337,693,6030,0,0,4,0,0,4,0,256,6,262,2,27,291,295,5735,90,95.1
11,Wrongful Restraint/Confinement,46797,11257,58054,10,20,1028,125,6,1189,6,947,235,1182,114,1651,2947,4136,53918,40.1,92.9
12,Assault on Women with Intent to Outrage her Modesty,375202,73610,448812,132,6,2513,158,74,2883,67,4951,678,5629,904,13649,20182,23065,425747,27.9,94.9
12.1,Assault on Women with Intent to Outrage her Modesty,229489,41069,270558,105,4,1625,124,53,1911,56,2589,352,2941,541,10113,13595,15506,255052,21.6,94.3
12.2,Sexual Harassment,84103,14965,99068,20,2,396,27,6,451,9,1584,175,1759,252,1979,3990,4441,94627,44.1,95.5
12.2.1,at Work or Office Premises,2886,419,3305,0,0,13,0,1,14,1,20,2,22,1,50,73,87,3218,30.1,97.4
12.2.2,In Public Transport System,2347,361,2708,0,0,3,0,0,3,0,69,7,76,1,69,146,149,2559,52.1,94.5
12.2.3,In Shelter Homes for women and Children,1847,361,2208,0,0,10,0,0,10,0,31,0,31,0,55,86,96,2112,36,95.7
12.2.4,Other Places,77023,13824,90847,20,2,370,27,5,424,8,1464,166,1630,250,1805,3685,4109,86738,44.2,95.5
12.3,Assault or use of Criminal Force on women with intent to Disrobe,32436,9309,41745,1,0,69,3,5,78,1,425,76,501,63,815,1379,1457,40288,36.3,96.5
12.4,Voyeurism,3748,1039,4787,1,0,27,1,2,31,0,63,1,64,5,101,170,201,4586,37.6,95.8
12.5,Stalking,25426,7228,32654,5,0,396,3,8,412,1,290,74,364,43,641,1048,1460,31194,34.7,95.5
13,Kidnapping and Abduction,232036,32081,264117,34,1,210,16,20,281,51,3043,338,3381,643,5480,9504,9785,254332,35.6,96.3
13.1,Kidnapping and Abduction,73680,13113,86793,13,0,95,5,12,125,23,953,137,1090,295,1731,3116,3241,83552,35,96.3
13.1.1,Missing Children Deemed as Kidnapped,16783,4167,20950,5,0,22,0,6,33,0,279,6,285,54,480,819,852,20098,34.8,95.9
13.1.2,Other Kidnapping & Abduction,56897,8946,65843,8,0,73,5,6,92,23,674,131,805,241,1251,2297,2389,63454,35,96.4
13.2,Kidnapping and Abduction for the Purpose of Begging,176,13,189,1,0,0,0,0,1,0,2,0,2,0,2,4,5,184,50,97.4
13.3,Kidnapping and Abduction in order to Murder,9181,274,9455,0,0,0,1,0,1,0,89,0,89,2,44,135,136,9319,65.9,98.6
13.4,Kidnapping for Ransom,2608,336,2944,1,0,1,1,0,3,1,27,7,34,4,50,88,91,2853,38.6,96.9
13.5,Kidnapping and Abduction of Women to compel her for marriage,97537,11868,109405,1,1,75,7,7,91,6,1644,124,1768,255,2462,4485,4576,104829,39.4,95.8
13.6,Procuration of Minor Girls,6128,1181,7309,0,0,0,0,1,1,2,12,15,27,0,286,313,314,6995,8.6,95.7
13.7,Importation of Girls from Foreign Country,192,4,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,NA,100
13.8,Other Kidnapping & Abduction,42534,5292,47826,18,0,39,2,0,59,19,316,55,371,87,905,1363,1422,46404,27.2,97
14,Human Trafficking,3396,1005,4401,1,1,0,0,0,2,65,140,35,175,7,127,309,311,4090,56.6,92.9
15,Exploitation of Trafficked Person,400,78,478,0,0,0,0,0,0,0,31,1,32,0,10,42,42,436,76.2,91.2
16,Selling of Minors for Prostitution,560,14,574,0,0,0,0,0,0,0,0,0,0,0,3,3,3,571,0,99.5
17,Buying of Minors for Prostitution,162,7,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,NA,100
18,Rape,145865,23693,169558,39,8,103,6,29,185,63,3451,363,3814,496,5403,9713,9898,159660,39.3,94.2
19,Attempt to Commit Rape,14352,2796,17148,3,0,14,2,0,19,3,197,24,221,24,403,648,667,16481,34.1,96.1
20,Unnatural Offences,4472,770,5242,2,0,5,0,0,7,1,103,8,111,21,138,270,277,4965,41.1,94.7
Offences Affecting the Human Body (Total),Offences Affecting the Human Body (Total),4474648,807683,5282331,2690,225,32931,3727,575,40148,1279,71923,17691,89614,14645,125992,230251,270399,5011932,38.9,94.9
21,Offences against State,528,61,589,0,0,0,0,0,0,0,4,0,4,0,8,12,12,577,33.3,98
21.1,Sedition,86,23,109,0,0,0,0,0,0,0,2,0,2,0,4,6,6,103,33.3,94.5
21.2,Others,442,38,480,0,0,0,0,0,0,0,2,0,2,0,4,6,6,474,33.3,98.8
Offences against the State (Total),Offences against the State (Total),528,61,589,0,0,0,0,0,0,0,4,0,4,0,8,12,12,577,33.3,98
22,Unlawful Assembly,39055,8759,47814,0,30,81,33,23,167,3,619,486,1105,173,1236,2514,2681,45133,44,94.4
23,Riots,476526,43063,519589,6,121,989,31,77,1224,150,4080,533,4613,1028,9998,15639,16863,502726,29.5,96.8
23.1,Communal/Religious,5031,492,5523,1,5,7,0,2,15,6,119,0,119,1,53,173,188,5335,68.8,96.6
23.2,Sectarian,957,78,1035,0,0,0,0,0,0,0,5,1,6,0,14,20,20,1015,30,98.1
